division,date,home_team,away_team,ft_home_goals,ft_away_goals,ft_result,ht_home_goals,ht_away_goals,ht_result,odds_home,odds_draw,odds_away
1,2018-01-06,Spal,Lazio,2,5,3,2,4,3,6.52,4.55,1.55
1,2018-01-06,Torino,Bologna,3,0,1,1,0,1,2.14,3.48,3.78
1,2018-01-21,Atalanta,Napoli,0,1,3,0,0,2,3.73,3.56,2.1
1,2018-01-21,Bologna,Benevento,3,0,1,1,0,1,1.68,3.78,06.05
1,2018-01-21,Cagliari,Milan,1,2,3,1,2,3,3.88,3.52,02.07
1,2018-01-21,Inter,Roma,1,1,2,0,1,3,2.41,3.52,03.06
1,2018-01-21,Lazio,Chievo,5,1,1,2,1,1,1.26,6.6,12.5
1,2018-01-21,Sampdoria,Fiorentina,3,1,1,1,0,1,2.99,3.54,2.45
1,2018-01-21,Sassuolo,Torino,1,1,2,0,1,3,2.77,3.31,2.77
1,2018-01-21,Udinese,Spal,1,1,2,1,0,1,1.78,3.53,5.6
1,2018-01-21,Verona,Crotone,0,3,3,0,1,3,2.18,3.34,3.74
1,2018-01-22,Juventus,Genoa,1,0,1,1,0,1,1.2,7.1,19.51
1,2018-01-24,Lazio,Udinese,3,0,1,1,0,1,1.49,4.75,6.98
1,2018-01-24,Sampdoria,Roma,1,1,2,1,0,1,04.01,3.79,1.95
1,2018-01-27,Chievo,Juventus,0,2,3,0,0,2,10.5,05.07,1.36
1,2018-01-27,Sassuolo,Atalanta,0,3,3,0,1,3,3.53,3.46,2.24
1,2018-01-28,Crotone,Cagliari,1,1,2,1,1,2,2.39,3.24,3.35
1,2018-01-28,Fiorentina,Verona,1,4,3,0,2,3,1.3,06.01,10.99
1,2018-01-28,Genoa,Udinese,0,1,3,0,0,2,2.27,3.22,3.66
1,2018-01-28,Milan,Lazio,2,1,1,2,1,1,2.54,3.47,2.91
1,2018-01-28,Napoli,Bologna,3,1,1,2,1,1,1.19,7.65,17.5
1,2018-01-28,Roma,Sampdoria,0,1,3,0,0,2,1.41,5.18,08.04
1,2018-01-28,Spal,Inter,1,1,2,0,0,2,5.7,4.13,1.65
1,2018-01-28,Torino,Benevento,3,0,1,3,0,1,1.44,4.85,08.08
1,2018-02-03,Inter,Crotone,1,1,2,1,0,1,1.32,5.41,12.07
1,2018-02-03,Sampdoria,Torino,1,1,2,1,1,2,2.39,3.64,3
1,2018-02-04,Atalanta,Chievo,1,0,1,0,0,2,1.37,5.26,9.34
1,2018-02-04,Benevento,Napoli,0,2,3,0,1,3,17.53,7.43,1.2
1,2018-02-04,Bologna,Fiorentina,1,2,3,1,1,2,3.26,3.44,2.34
1,2018-02-04,Cagliari,Spal,2,0,1,1,0,1,2.14,3.34,3.88
1,2018-02-04,Juventus,Sassuolo,7,0,1,4,0,1,1.25,6.34,15.09
1,2018-02-04,Udinese,Milan,1,1,2,0,1,3,3.4,3.31,2.33
1,2018-02-04,Verona,Roma,0,1,3,0,1,3,7.84,05.07,1.43
1,2018-02-05,Lazio,Genoa,1,2,3,0,0,2,1.51,4.31,7.75
1,2018-02-09,Fiorentina,Juventus,0,2,3,0,0,2,4.74,3.61,1.86
1,2018-02-10,Crotone,Atalanta,1,1,2,0,0,2,4.85,3.53,1.87
1,2018-02-10,Napoli,Lazio,4,1,1,1,1,2,1.67,04.09,5.54
1,2018-02-10,Spal,Milan,0,4,3,0,1,3,4.76,3.72,1.83
1,2018-02-11,Chievo,Genoa,0,1,3,0,0,2,2.98,3.13,2.7
1,2018-02-11,Inter,Bologna,2,1,1,1,1,2,1.49,4.45,7.79
1,2018-02-11,Roma,Benevento,5,2,1,1,1,2,1.16,8.96,18.4
1,2018-02-11,Sampdoria,Verona,2,0,1,0,0,2,1.48,4.83,7.13
1,2018-02-11,Sassuolo,Cagliari,0,0,2,0,0,2,2.13,3.35,3.87
1,2018-02-11,Torino,Udinese,2,0,1,1,0,1,1.85,3.68,4.68
1,2018-02-17,Chievo,Cagliari,2,1,1,0,0,2,2.49,3.31,3.11
1,2018-02-17,Genoa,Inter,2,0,1,1,0,1,3.52,3.13,2.37
1,2018-02-17,Udinese,Roma,0,2,3,0,0,2,4.49,3.68,1.88
1,2018-02-18,Atalanta,Fiorentina,1,1,2,1,1,2,2.4,3.32,3.25
1,2018-02-18,Benevento,Crotone,3,2,1,1,1,2,2.66,3.19,2.99
